Argentina,324767,40134425
Australia,1013461,22123000
Austria,414828,8372930
Belgium,506183,10827519
Brazil,1572839,192363000
Canada,1499551,33974000
China,4327448,1335380000
Colombia,240832,45274000
Czech Republic,216354,10512397
Denmark,340029,5532531
France,2866951,65073482
Germany,3673105,81882342
Greece,357548,11306183
Hong Kong,215354,7008900
India,1206684,1175840000
Indonesia,511765,231369500
Iran,335233,74196000
Ireland,267579,4459300
Italy,2313893,60231214
Japan,4910692,127530000
Malaysia,221606,28306700
Mexico,1088128,107550697
Netherlands,876970,16583700
Poland,527866,38100700
Portugal,244640,10636888
Russia,1676586,141915979
Saudi Arabia,469462,25721000
South Africa,276764,49320500
South Korea,929124,48333000
Spain,1601964,45967632
Sweden,478961,9336487
Switzerland,500260,7771600
Thailand,273313,63389730
Turkey,729983,71517100
United Arab Emirates,262150,4599000
United Kingdom,2680000,62041708
United States,14441425,308524000
Venezuela,319443,28633000
